"text_string"	"ignore"	"alias_to"	"lang"
"d artagnan"	1		"en"
"broadway"	0	"broadway new york"	"en"
"parliament"	0	"westminster hall"	"en"
"urdu"	1		"en"
"metro"	1		"en"
"duca"	1		"en"
"idabel"	1		"en"
"hera"	1		"en"
"philistines"	1		"en"
"bro"	1		"en"
"capitol"	0	"united states capitol building washington dc"	"en"
"washington"	0	"washington dc"	"en"
"earth"	1		"en"
"states"	0	"united states"	"en"
"mars"	1		"en"
"atlantic"	0	"atlantic ocean"	"en"
"pacific"	0	"pacific ocean"	"en"
"sioux"	0	"big sioux river sd"	"en"
"cal"	1	"california usa"	"en"
"hudson"	0	"hudson river ny"	"en"
"palestine"	0	"israel"	"en"
"aurora"	1		"en"
"mediterranean"	0	"mediterranean sea"	"en"
"jupiter"	1		"en"
"naples"	0	"naples italy"	"en"
"columbia"	0	"columbia university new york"	"en"
"babylon"	0	"hillah babylon iraq"	"en"
"wales"	0	"wales uk"	"en"
"portland"	0	"portland maine"	"en"
"potomac"	0	"potomac river"	"en"
"galilee"	0	"israel"	"en"
"valley"	1		"en"
"della street"	1		"en"
"west point"	0	"west point ny"	"en"
"myrtle"	1		"en"
"city hall"	1		"en"
"soviet union"	0	"russia"	"en"
"cape"	1		"en"
"siberia"	0	"russia"	"en"
"saratoga"	0	"saratoga springs ny"	"en"
"bethlehem"	0	"bethlehem israel"	"en"
"gulf"	1		"en"
"flora"	1		"en"
"tarma"	1		"en"
"olivia"	1		"en"
"rockies"	0	"rocky mountains"	"en"
"bay"	1		"en"
"wayland"	1		"en"
"east side"	0	"manhattan"	"en"
"rio grande"	0	"rio grande river texas usa"	"en"
"republic"	0	"united states"	"en"
"orient"	0	"asia"	"en"
"lake"	1		"en"
"pluto"	1		"en"
"esq "	1		"en"
"dakota"	0	"south dakota"	"en"
"carolina"	0	"north carolina"	"en"
"moon"	1		"en"
"pearl"	1		"en"
"rhine"	0	"river rhein"	"en"
"creek"	1		"en"
"neptune"	1		"en"
"iola"	1		"en"
"frisco"	0	"san francisco ca"	"en"
"santa"	1		"en"
"ailsa"	1		"en"
"island"	1		"en"
"jericho"	0	"israel"	"en"
"waterloo"	0	"waterloo belgium"	"en"
"sulu"	1		"en"
"east river"	0	"east river new york"	"en"
"square"	1		"en"
"jamestown"	0	"jamestown va"	"en"
"georgetown"	0	"georgetown dc us"	"en"
"west side"	0	"manhattan"	"en"
"bohemia"	0	"czech republic"	"en"
"padre"	1		"en"
"sweetwater"	0	"sweetwater nj"	"en"
"christendom"	1		"en"
"judea"	0	"israel"	"en"
"amazon"	0	"amazon river"	"en"
"thebes"	0	"thebes greece"	"en"
"niagara"	0	"niagara river"	"en"
"vancouver"	0	"vancouver canada"	"en"
"jefferson"	1		"en"
"new world"	0	"americas"	"en"
"concord"	0	"concord mass "	"en"
"blacky"	1		"en"
"alamo"	0	"alamo san antonio"	"en"
"riviera"	0	"french riviera"	"en"
"mount"	1		"en"
"san juan"	0	"san juan puerto rico"	"en"
"rostov"	1		"en"
"twisp"	1		"en"
"yorkshire"	0	"yorkshire england"	"en"
"trinidad"	0	"trinidad and tobago"	"en"
"antioch"	0	"antakya turkey"	"en"
"santa claus"	1		"en"
"kingdom"	1		"en"
"jonesville"	1		"en"
"tarsus"	0	"tarsus turkey"	"en"
"arcadia"	1		"en"
"nassau"	0	"nassau street new york ny"	"en"
"old city"	1		"en"
"garden"	1		"en"
"st peter"	1		"en"
"seneca"	0	"seneca ny"	"en"
"marina"	1		"en"
"odessa"	0	"odessa"	"en"
"fort"	1		"en"
"platte"	0	"platte river"	"en"
"third avenue"	0	"manhattan"	"en"
"ardmore"	1		"en"
"louis"	1		"en"
"carthage"	0	"tunis"	"en"
"taliesin"	1		"en"
"prussia"	0	"germany"	"en"
"spock"	1		"en"
"gipsy"	1		"en"
"canaan"	0	"israel"	"en"
"wabash"	0	"wabash river"	"en"
"gracie"	1		"en"
"rio"	0	"rio janeiro"	"en"
"smyrna"	0	"smyrna turkey"	"en"
"czechoslovakia"	0	"czech republic"	"en"
"westchester"	0	"westchester county"	"en"
"newfoundland"	0	"newfoundland canada"	"en"
"ephesus"	0	"selcuk turkey"	"en"
"bethel"	1		"en"
"louvre"	0	"musee du louvre paris france"	"en"
"thames"	0	"river thames"	"en"
"raintree county"	1		"en"
"cyrene"	1		"en"
"philip"	1		"en"
"golden gate"	0	"golden gate bridge"	"en"
"navarre"	0	"navarre spain"	"en"
"sparta"	0	"sparta greece"	"en"
"sahara"	0	"africa"	"en"
"frankfort"	0	"frankfurt germany"	"en"
"palatine"	1		"en"
"spencer"	1		"en"
"great hall"	1		"en"
"holy city"	1		"en"
"hyde park"	0	"hyde park london"	"en"
"union square"	0	"union square park"	"en"
"melbourne"	0	"melbourne australia"	"en"
"wolfville"	1		"en"
"capitola"	1		"en"
"navajo"	1		"en"
"islands"	1		"en"
"st george"	1		"en"
"wall street"	0	"wall street new york"	"en"
"charlestown"	0	"charleston south carolina"	"en"
"sidon"	0	"sidon lebanon"	"en"
"provence"	0	"mount washington nh"	"en"
"squire"	1		"en"
"san domingo"	0	"santo domingo dominican republic"	"en"
"sethe"	1		"en"
"st germain"	0	"blvd st germain paris"	"en"
"washington city"	0	"washington dc"	"en"
"ganymede"	1		"en"
"carlotta"	1		"en"
"far east"	0	"asia"	"en"
"second avenue"	0	"second avenue new york city"	"en"
"sierras"	0	"sierra california"	"en"
"boynton"	1		"en"
"mount vernon"	0	"mount vernon va"	"en"
"town hall"	1		"en"
"piedmont"	0	"italy piedmont"	"en"
"state street"	1		"en"
"mohawk"	0	"mohawk river"	"en"
"new france"	0	"north america"	"en"
"lexington avenue"	0	"lexington ave new york ny"	"en"
"samaria"	0	"israel"	"en"
"etc "	1		"en"
"tiberias"	0	"tiberias israel"	"en"
"belton"	1		"en"
"chur"	1		"en"
"susquehanna"	0	"susquehanna river usa"	"en"
"isles"	1		"en"
"washington street"	1		"en"
"monticello"	0	"charlottesville"	"en"
"park"	1		"en"
"boulevard"	1		"en"
"pennsylvania avenue"	0	"pennsylvania avenue washington"	"en"
"pompeii"	0	"pompei italy"	"en"
"messala"	1		"en"
"moab"	0	"jordan"	"en"
"dead sea"	0	"dead sea jordan"	"en"
"brook"	1		"en"
"vogue"	1		"en"
"sardis"	0	"sart turkey"	"en"
"river"	1		"en"
"cheshire"	0	"cheshire west and chester england uk"	"en"
"montmartre"	0	"paris france"	"en"
"south pacific"	0	"pacific ocean"	"en"
"oval office"	0	"washington dc"	"en"
"shenandoah"	0	"shenandoah river"	"en"
"st lawrence"	0	"st lawrence river"	"en"
"carolinas"	0	"north carolina"	"en"
"marin"	0	"marin county"	"en"
"alhambra"	0	"alhambra spain"	"en"
"pacific coast"	0	"california usa"	"en"
"miranda"	1		"en"
"siena"	0	"sienna"	"en"
"jaffa"	0	"tel aviv israel"	"en"
"tiber"	0	"tiber river italy"	"en"
"moultrie"	0	"fort moultrie"	"en"
"wye"	0	"river wye uk"	"en"
"west end"	0	"london"	"en"
"assyria"	0	"iraq"	"en"
"new amsterdam"	0	"new york city ny"	"en"
"gaul"	0	"france"	"en"
"castile"	0	"castile spain"	"en"
"manchuria"	0	"china"	"en"
"merrimac"	0	"merrimack river"	"en"
"palisades"	0	"palisades ny"	"en"
"gethsemane"	0	"jerusalem israel"	"en"
"adriatic"	0	"adriatic sea"	"en"
"joppa"	0	"tel aviv israel"	"en"
"south seas"	0	"pacific ocean"	"en"
"sierra"	0	"sierra california"	"en"
"south sea"	0	"pacific ocean"	"en"
"tigris"	0	"tigris river"	"en"
"avon"	0	"stratford on avon"	"en"
"san jacinto"	0	"houston texas"	"en"
"manhattan island"	0	"manhattan"	"en"
"attica"	0	"greece"	"en"
"safed"	0	"birya israel"	"en"
"ganges"	0	"kolkata india"	"en"
"golconda"	0	"hyderabad india"	"en"
"philistine"	1		"en"
"back bay"	0	"boston ma"	"en"
"pompey"	0	"pompeii"	"en"
"hillsboro"	0	"hillsboro ohio"	"en"
"sheba"	0	"yemen"	"en"
"patagonia"	0	"patagonia argentina"	"en"
"eton"	0	"eton england"	"en"
"cape horn"	0	"cape horn chile"	"en"
"mesopotamia"	0	"iraq"	"en"
"north pacific"	0	"pacific ocean"	"en"
"aegean"	0	"aegean sea"	"en"
"greenwood"	0	"green wood cemetery brooklyn ny"	"en"
"sumter"	0	"fort sumter"	"en"
"la guardia"	0	"la guardia airport"	"en"
"capitol hill"	0	"washington dc"	"en"
"silver city"	0	"silver city nv"	"en"
"nile"	0	"river nile africa"	"en"
"richmond hill"	0	"richmond virginia"	"en"
"western europe"	0	"europe"	"en"
"st matthew"	1		"en"
"milton"	1		"en"
"thermopylae"	0	"thermopylae greece"	"en"
"scandinavia"	0	"sweden"	"en"
"bunker hill"	0	"bunker hill ma"	"en"
"monongahela"	0	"monongahela river"	"en"
"shechem"	0	"mount gerizim"	"en"
"rialto"	0	"italy venice"	"en"
"asia minor"	0	"turkey"	"en"
"thrace"	0	"bulgaria"	"en"
"schuylkill"	0	"schuylkill river"	"en"
"teheran"	0	"tehran iran"	"en"
"st francis"	1		"en"
"ecclesiastes"	1		"en"
"catskills"	0	"catskill mountains"	"en"
"yazoo"	0	"yazoo river ms"	"en"
"south boston"	0	"boston ma"	"en"
"south mountain"	0	"boonsboro"	"en"
"calvary"	0	"jerusalem israel"	"en"
"vistula"	0	"vistula river poland"	"en"
"philippi"	0	"filippoi greece"	"en"
"central africa"	0	"congo"	"en"
"rocky mountain"	0	"rocky mountains"	"en"
"pekin"	0	"beijing china"	"en"
"languedoc"	0	"france"	"en"
"jefferson worth"	1		"en"
"saviour"	1		"en"
"dahomey"	0	"benin"	"en"
"san felipe"	0	"san felipe tx"	"en"
"pines"	1		"en"
"salvador"	0	"san salvador"	"en"
"willamette"	0	"willamette river"	"en"
"pt"	1		"en"
"santa lucia"	0	"naples italy"	"en"
"san antone"	0	"san antonio"	"en"
"delmonico"	0	"56 beaver st new york ny"	"en"
"san lorenzo"	0	"san lorenzo cathedral genoa italy"	"en"
"sandwich islands"	0	"hawaii"	"en"
"sierra nevada"	0	"sierra california"	"en"
"hampton court"	0	"hampton court palace east molesey surrey uk"	"en"
"shenandoah valley"	0	"shenandoah river"	"en"
"old england"	0	"england gb"	"en"
"auburn"	0	"mount auburn"	"en"
"leviticus"	1		"en"
"mount zion"	0	"mount zion jerusalem israel"	"en"
"hawkeye"	0	"iowa"	"en"
"saracen"	1		"en"
"egeria"	1		"en"
"phoenicia"	0	"tyre lebanon"	"en"
"java"	0	"java indonesia"	"en"
"nassau street"	0	"nassau street new york ny"	"en"
"stamboul"	0	"istanbul"	"en"
"herculaneum"	0	"ecolano italy"	"en"
"mountains"	1		"en"
"seven pines"	0	"seven pines national cemetary"	"en"
"old mexico"	0	"mexico"	"en"
"eternal city"	0	"rome italy"	"en"
"san juan hill"	0	"santiago de cuba"	"en"
"hanover square"	0	"hanover square london"	"en"
"san francisco chronicle"	0	"san francisco"	"en"
"mount hermon"	0	"mount hermon syria"	"en"
"west india"	0	"west indies"	"en"
"st anne"	1		"en"
"stone river"	0	"murfreesboro tenn "	"en"
"abyssinia"	0	"ethiopia"	"en"
"zion"	0	"jerusalem israel"	"en"
"south atlantic"	0	"atlantic ocean"	"en"
"kanawha"	0	"kanawha river"	"en"
"bridge"	1		"en"
"caledonia"	0	"scotland"	"en"
"yuba"	0	"yuba river california"	"en"
"emmaus"	0	"jerusalem israel"	"en"
"st ignatius"	1		"en"
"piccadilly"	0	"picadilly london"	"en"
"sudbury"	0	"sudbury ma"	"en"
"lapland"	0	"finland"	"en"
"emerald isle"	0	"ireland"	"en"
"albion"	0	"great britain"	"en"
"troy"	0	"hisarlik turkey"	"en"
"st ursula"	1		"en"
"bexar"	0	"san antonio texas"	"en"
"white mountain"	0	"white mountains"	"en"
"st james s park"	0	"st james s square"	"en"
"trafalgar"	0	"cabo trafalgar spain"	"en"
"jalapa"	0	"xalapa mexico"	"en"
"victoria station"	0	"victoria station london"	"en"
"mount washington"	0	"mount washington nh"	"en"
"st joe"	1		"en"
"crescent city"	0	"new orleans la"	"en"
"kaintuck"	0	"kentucky"	"en"
"bellevue hospital"	0	"bellevue hospital new york ny"	"en"
"juvenile hall"	1		"en"
"nubia"	0	"egypt africa"	"en"
"cal "	0	"california"	"en"
"sebastopol"	0	"sevastopol"	"en"
"st james s street"	0	"st james s square"	"en"
"malmaison"	0	"malmaison france"	"en"
"nain"	0	"nein israel"	"en"
"arkansaw"	0	"arkansas"	"en"
"abydos"	0	"canakkale turkey"	"en"
"opera house"	1		"en"
"leipsic"	0	"leipzig"	"en"
"south sea islands"	0	"polynesia"	"en"
"west philadelphia"	0	"philadelphia pa"	"en"
"merrimack"	0	"merrimack river"	"en"
"river jordan"	0	"jordan river israel"	"en"
"monocacy"	0	"monocacy river"	"en"
"mountain house"	1		"en"
"st anthony"	1		"en"
"cumberland mountains"	0	"virginia usa"	"en"
"old virginia"	0	"virginia usa"	"en"
"siloam"	0	"jerusalem israel"	"en"
"east boston"	0	"boston ma"	"en"
"ionia"	0	"izmir province turkey"	"en"
"ameriky"	0	"united states"	"en"
"green mountain"	0	"green mountains"	"en"
"port republic"	0	"port republic va"	"en"
"chancery"	0	"london"	"en"
"scorpio"	1		"en"
"ayrshire"	0	"south ayrshire scotland uk"	"en"
"mechlin"	0	"mechelen belgium"	"en"
"lower california"	0	"california usa"	"en"
"basilica"	1		"en"
"upper egypt"	0	"egypt"	"en"
"marmora"	0	"sea marmora"	"en"
"isaiah"	1		"en"
"southern europe"	0	"europe"	"en"
"st valentine"	1		"en"
"oval"	1		"en"
"mountain city"	1		"en"
"metropolis"	1		"en"
"mendon"	0	"mendon france"	"en"
"great salt lake city"	0	"salt lake city"	"en"
"new york sun"	0	"new york city"	"en"
"mount tabor"	0	"mount tabor israel"	"en"
"long wharf"	0	"long wharf boston ma"	"en"
"mountain"	1		"en"
"ultima thule"	0	"greenland"	"en"
"lower egypt"	0	"egypt"	"en"
"kaaba"	0	"mecca"	"en"
"suburbia"	1		"en"
"upper mississippi"	0	"mississippi river usa"	"en"
"quaker city"	0	"philadelphia pa"	"en"
"academe"	1		"en"
"smithville"	0	"smithville tn"	"en"
"baden"	0	"baden baden"	"en"
"britannia"	0	"britain"	"en"
"mount ararat"	0	"mount ararat turkey"	"en"
"kedron"	0	"kidron israel"	"en"
"southern france"	0	"france"	"en"
"new netherlands"	0	"new york state"	"en"
"young america"	0	"united states"	"en"
"washington irving"	1		"en"
"manassas junction"	0	"manassas"	"en"
"stone bridge"	0	"manassas"	"en"
"lunnon"	0	"london"	"en"
"metropolitan museum"	0	"new york city"	"en"
"chancery lane"	0	"london"	"en"
"fayal"	0	"faial portugal"	"en"
"whitehaven"	0	"whitehaven england"	"en"
"dover street"	0	"boston ma"	"en"
"southern italy"	0	"italy"	"en"
"greenwood cemetery"	0	"green wood cemetery brooklyn ny"	"en"
"mount vesuvius"	0	"mount vesuvius italy"	"en"
"metropolitan"	1		"en"
"luzerne"	0	"lucerne"	"en"
"sinai"	0	"egypt africa"	"en"
"streatham"	0	"streatham uk"	"en"
"valentine"	1		"en"
"pisces"	1		"en"
"sunda"	0	"sunda straight indonesia"	"en"
"saco"	0	"saco river"	"en"
"harlem heights"	0	"harlem"	"en"
"sioux river"	0	"big sioux river sd"	"en"
"nismes"	0	"nimes france"	"en"
"tophet"	0	"jerusalem israel"	"en"
"st domingo"	0	"santo domingo dominican republic"	"en"
"shasta"	0	"mount shasta"	"en"
"juniata"	0	"juniata pa"	"en"
"old spain"	0	"spain"	"en"
"table bay"	0	"table bay cape town south africa"	"en"
"abbotsford"	0	"melrose uk"	"en"
"hindostan"	0	"india"	"en"
"mountain chapel"	1		"en"
"mount etna"	0	"mount etna italy"	"en"
"connecticut valley"	0	"connecticut river"	"en"
"mountain brook"	1		"en"
"west india islands"	0	"west indies"	"en"
"ramah"	0	"jerusalem israel"	"en"
"mountain meadow"	1		"en"
"nile valley"	0	"river nile africa"	"en"
"troas"	0	"canakkale turkey"	"en"
"washinton"	0	"washington dc"	"en"
"st jago"	0	"santiago cape verde"	"en"
"victoria haven"	1		"en"
"charlestown neck"	0	"charlestown boston ma"	"en"
"mercer"	1		"en"
"richmond"	0	"richmond virginia"	"en"
"somerville"	1		"en"
"boston"	0	"boston ma"	"en"
"jerusalem"	0	"jerusalem israel"	"en"
"providence"	1		"en"
"beulah"	1		"en"
"westbrook"	1		"en"
"flint"	1		"en"
"wallingford"	1		"en"
"arden"	1		"en"
"paradise"	1		"en"
"florence"	1		"en"
"philadelphia"	0	"philadelphia pa"	"en"
"california"	0	"california usa"	"en"
"sabbath"	1		"en"
"milford"	1		"en"
"springs"	1		"en"
"charlotte"	1		"en"
"everett"	1		"en"
"bella"	1		"en"
"beast"	1		"en"
"ossian"	1		"en"
"new york city"	0	"new york city ny"	"en"
"america"	0	"united states"	"en"
"beau"	1		"en"
"margate"	0	"margate kent uk"	"en"
"windsor"	1		"en"
"bengal"	0	"west bengal india"	"en"
"american"	1		"en"
"philly"	0	"philadelphia pa"	"en"
"oceana"	1		"en"
"conrad"	1		"en"
"orlando"	1		"en"
"hamilton"	1		"en"
"raleigh"	1		"en"
"upas"	1		"en"
"cornwall"	0	"cornwall england"	"en"
"lincoln"	1		"en"
"merrie england"	0	"england"	"en"
"rosa"	1		"en"
"port"	1		"en"
"new jerusalem"	1		"en"
"hardscrabble"	1		"en"
"captain gray"	1		"en"
"flora flora"	1		"en"
"earnest"	1		"en"
"bible"	1		"en"
"grey"	1		"en"
"hampton"	1		"en"
"san francisco"	0	"san francisco ca"	"en"
"virgin"	1		"en"
"woodland"	1		"en"
"beverly"	1		"en"
"great spirit"	1		"en"
"united states bank"	1		"en"
"ida"	1		"en"
"rose hill"	1		"en"
"sunnyside"	1		"en"
"hebrew"	1		"en"
"vinal"	1		"en"
"adelaide"	1		"en"
"houghton"	1		"en"
"utopia"	1		"en"
"tennyson"	1		"en"
"palm"	1		"en"
"afar"	1		"en"
"pierian"	1		"en"
"mother goose"	1		"en"
"hast"	1		"en"
"thou"	1		"en"
"oho"	1		"en"
"sea"	1		"en"
"queen city"	1		"en"
"new englander"	1		"en"
"chile chile"	1		"en"
"cato"	1		"en"
"mankind"	1		"en"
"haralson"	1		"en"
"heaven"	1		"en"
"chile"	1		"en"
"st angelo"	1		"en"
"aunt dinah"	1		"en"
"beggary"	1		"en"
"bellevue"	0	"bellevue hospital new york ny"	"en"
"eliza"	1		"en"
"worthington"	1		"en"
"templeton"	1		"en"
"jersey"	0	"new jersey usa"	"en"
"montgomery"	1		"en"
"kingston"	1		"en"
"meredith bridge"	0	"laconia"	"en"
"keene"	1		"en"
"rutland"	1		"en"
"henry"	1		"en"
"biddeford"	0	"biddeford maine"	"en"
"augusta"	1		"en"
"hudson river"	0	"hudson river ny"	"en"
"field"	1		"en"
"buddha"	1		"en"
"plato"	1		"en"
