"ID","Category","Language","Genre","Genre2","Pubdate","Author_Last","Author_First","Work_Title","Translation","PubHouse","Prize","WinnerShortlist","Author_Gender","Author_Nationality","token_count","total_characters","protagonist_concentration","avg_sentence_length","avg_word_length","tuldava_score","event_count","speed_avg","circuitousness","speed_min","volume","goodreads_avg","total_ratings","goodreads_URL","Probability1P"
"[Heist Society 2] Uncommon Criminals - Ally Carter.txt","FIC","English","YA","",2011,"Carter","Ally","UncommonCriminals","","","","","F","",80392,34,0.3429017161,14.1063344446,4.1295705865,3.3107117578,4796,-2.4068,0.17579,-2.5826,-3.0142,4.13,42102,"https://www.goodreads.com/search?q=Ally+Carter+Uncommon+Criminals",0
"2001_2011_Wilson,RobertCharles_TheChronoliths_SF.txt","FIC","English","SF","",2001,"Wilson","RobertCharles","TheChronoliths","","","","","M","US/Canada",103230,34,0.1503325942,15.3501858736,4.3091605274,3.7040091312,4039,-2.2599,0.23048,-2.4904,-2.9521,3.67,5136,"https://www.goodreads.com/search?q=+The+Chronoliths",1
"2001_Martel,Yann_LifeofPi_BS.txt","FIC","English","BS","",2001,"Yann","Martel","LifeofPi","","","","","M","Spain/Canada",124445,27,0.2757201646,13.9029158753,4.1742168196,3.4606635164,5129,-2.1545,0.15124,-2.3057,-2.83,3.93,1480498,"https://www.goodreads.com/search?q=+Lifeof+Pi",1
"2002_2011_Anderson,MT_Feed_SF.txt","FIC","English","SF","YA",2002,"Anderson","MT","Feed","","","","","M","US",67075,14,0.2830985915,12.149067198,3.8896610357,2.9092122102,3479,-2.3438,0.13506,-2.4788,-2.8989,3.56,61346,"https://www.goodreads.com/search?q=MT+Anderson+Feed",1
"2002_Baker,Jo_Offcomer_CT.txt","FIC","English","NYT","",2002,"Baker","Jo","Offcomer","","","","","F","UK",88042,24,0.4313583815,12.6370030142,4.226161148,3.1831731487,6314,-2.1152,0.26496,-2.3801,-2.8866,2.58,145,"https://www.goodreads.com/search?q=Jo+Baker+Offcomer",0
"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","FIC","English","BS","",2002,"SueMonk","Kidd","TheSecretLifeofBees","","","","","F","US",114053,45,0.1642512077,15.9336406818,3.9752550782,3.3980695789,7204,-2.3821,0.19713,-2.5792,-3.0648,4.07,1203836,"https://www.goodreads.com/search?q=+The+Secret+Lifeof+Bees",1
"2002_Sebold,Alice_LovelyBones_BS.txt","FIC","English","BS","",2002,"Alice","Sebold","LovelyBones","","","","","F","US",118470,48,0.1983935743,16.3474541189,4.1024308149,3.5705984121,6884,-2.3458,0.20992,-2.5557,-3.0493,3.83,2185111,"https://www.goodreads.com/search?q=Sebold+Alice+Lovely+Bones",1
"2003_Hosseini,Khaled_TheKiteRunner_BS.txt","FIC","English","BS","",2003,"Khaled","Hosseini","TheKiteRunner","","","","","M","Afghanistan/US",133511,65,0.2069510269,13.9117432531,4.0713386754,3.2863192583,8770,-2.2408,0.20092,-2.4417,-2.9666,4.32,2765961,"https://www.goodreads.com/search?q=Hosseini+Khaled+The+Kite+Runner",1
"2003_Landay,William_MissionFlats_MY.txt","FIC","English","MY","",2003,"Landay","William","MissionFlats","","","","","M","US",150447,66,0.1104218362,12.472807163,4.0984368364,3.1413447594,6061,-2.1397,0.26245,-2.4021,-2.9433,3.56,4517,"https://www.goodreads.com/search?q=William+Landay+Mission+Flats",1
"2003_Low,Gennita_IntoDanger_ROM.txt","FIC","English","ROM","",2003,"Low","Gennita","IntoDanger","","","","","F","US",152074,34,0.2742374728,12.9479778629,4.1890747323,3.3293910639,9268,-2.3083,0.2437,-2.552,-3.0897,4.02,602,"https://www.goodreads.com/search?q=Gennita+Low+Into+Danger",0
