book_id	source	author	title	pub_date	author_gender
00010412	chicago_1	Nathan, Robert	One more spring	1933	M
00011648	chicago_1	Stewart, Alfred Walter	The four defences	1940	M
00010576	chicago_1	Dixon, Thomas	The flaming sword	1939	M
00011480	chicago_1	Ambler, Eric	The dark frontier	1936	M
Wright2-0416	wright	Bunce, Oliver Bell	A bachelor's story	1859	M
00022026	chicago_2	Walker, Alice	The color purple	1982	F
00020077	chicago_2	Spencer, Elizabeth	This crooked way	1952	F
00023318	chicago_2	Ford, Richard	Wildlife	1990	M
00022142	chicago_2	Westlake, Donald E	Why me	1983	M
00026084	chicago_2	Troy, Judy	From the Black Hills	1999	F
00024379	chicago_2	Murphy, Shirley Rousseau	Cat on the edge	1996	F
00025123	chicago_2	Leonard, Elmore	Pagan babies	2000	M
00021181	chicago_2	Herzog, Arthur	The swarm	1974	M
00025047	chicago_2	Daheim, Mary	Creeps Suzette	2000	F
Wright2-0945	wright	Blount, Margaret.	Kitty Atherton, or, A broken life	1863	F
00010691	chicago_1	Steinbeck, John	The moon is down	1942	M
Wright2-0539	wright	Gordon, Hewes.	Lovers and thinkers	1865	M
Wright2-0821	wright	Dupuy, Eliza A.	The mysterious guest	1873	F
00011603	chicago_1	Compton-Burnett, I.	A family and a fortune	1939	F
00010459	chicago_1	Stout, Rex	The president vanishes	1934	M
00010825	chicago_2	Powell, Richard	Shoot if you must	1946	M
00011767	chicago_1	Daniel, Glyn Edmund	The Cambridge murders	1945	M
Wright2-0695	wright	Davis, Peter Seibert	The young parson	1863	M
00010941	chicago_2	Heinlein, Robert A.	Sixth column	1949	M
00025168	chicago_2	Phillips, Clyde	Blindsided	2000	M
00024332	chicago_2	Hardwick, Gary	Cold medina	1996	M
00020390	chicago_2	Nin, Anais	Children of the albatross	1959	F
00026207	chicago_2	Silva, Daniel	The kill artist	2000	M
00000183	chicago_1	Harris, Joel Chandler	Nights with Uncle Remus	1883	M
00024256	chicago_2	Vachss, Andrew H	Footsteps of the hawk	1995	M
00023237	chicago_2	Wolfe, Gene	Soldier of Arete	1989	M
00021266	chicago_2	Hobson, Laura Z.	Consenting adult	1975	F
00022109	chicago_2	Michener, James A.	Poland	1983	M
00001111	chicago_1	Paine, Albert Bigelow	The mystery of Evelin Delorme	1894	M
00023353	chicago_2	Rigney, James Oliver	The great hunt	1990	M
00021302	chicago_2	Bombeck, Erma	The grass is always greener over the septic tank	1976	F
00020158	chicago_2	Ogilvie, Elisabeth	The dawning of the day	1954	F
00002646	chicago_1	MacGrath, Harold	Hearts and masks	1905	M
00020404	chicago_2	Doctorow, E. L.	Welcome to Hard Times	1960	M
00022829	chicago_2	Berry, Wendell	Remembering	1988	M
00020878	chicago_2	Dick, Philip K	A maze of death	1970	M
00025798	chicago_2	Kennett, Shirley	Fire cracker	1997	F
00022455	chicago_2	Anthony, Piers	Wielding a red sword	1986	M
00003578	chicago_1	Blackwood, Algernon	A prisoner in fairyland	1913	M
00020560	chicago_2	Linington, Elizabeth	Run to evil	1963	F
00022531	chicago_2	Krantz, Judith	I'll take Manhattan	1986	F
00025550	chicago_2	Chabon, Michael	Wonder boys	1995	M
00021496	chicago_2	Berger, Thomas	Arthur Rex	1978	M
00025434	chicago_2	Wilcox, James	Guest of a sinner	1993	M
00025848	chicago_2	Bear, Greg	Foundation and chaos	1998	M
Wright2-2398	wright	Stowe, Harriet Beecher	Pink and white tyranny	1871	F
eaf098v2	eaf	Fay, Theodore S. (Theodore Sedgwick)	The Countess Ida, Vol.2	1840	M
Wright2-0101	wright	Arthur, T. S.	Home scenes, and home influence	1854	M
Wright2-0065	wright	Appell, Theron B.	Belshazzar, or, The fall of Babylon	1861	M
00011197	chicago_1	Crofts, Freeman Wills	The Ponson case	1927	M
00000494	chicago_1	Cable, George Washington	Bonaventure	1888	M
00024741	chicago_2	Pella, Judith	A promise for tomorrow	1998	F
eaf099	eaf	Fay, Theodore S. (Theodore Sedgwick)	Hoboken	1843	M
00020687	chicago_2	Farina, Richard	Been down so long it looks like up to me	1966	M
00025967	chicago_2	Ballard, Mignon Franklin	Angel at Troublesome Creek	1999	F
00024625	chicago_2	Brown, Dan	Digital fortress	1998	M
00025803	chicago_2	LaHaye, Tim F	Nicolae	1997	M
00023994	chicago_2	Wurts, Janny	The curse of the Mistwraith	1993	F
00003457	chicago_1	Bower, B. M.	Good Indian	1912	F
00022862	chicago_2	Cusick, Richie Tankersley	The lifeguard	1988	F
00021615	chicago_2	Effinger, George Alec	Heroics	1979	M
eaf251	eaf	Lippard, George	Washington and his generals, or, Legends of the Revolution	1847	M
eaf258v1	eaf	Longfellow, Henry Wadsworth	Outre-mer, Vol.1	1833	M
00023644	chicago_2	Dart, Iris Rainer	I'll be there	1991	F
00024589	chicago_2	Theroux, Paul	Kowloon Tong	1997	M
00020833	chicago_2	Millar, Kenneth	The goodbye look	1969	M
00021771	chicago_2	Parker, Robert B.	Looking for Rachel Wallace	1980	M
eaf065v1	eaf	Cooper, James Fenimore	Home as found, Vol.1	1838	M
eaf335	eaf	Sedgwick, Catharine Maria	A New-England tale, or, Sketches of New-England character and manners.	1822	F
00002769	chicago_1	Hopkins, Herbert M.	The mayor of Warwick	1906	M
00024891	chicago_2	Gulland, Sandra	The many lives & secret sorrows of Josephine B.	1999	F
00003533	chicago_1	Norris, Kathleen Thompson	The rich Mrs. Burgoyne	1912	F
00022906	chicago_2	Hoover, Paul	Saigon: Illinois	1988	M
00020957	chicago_2	Gordon, Fred Jay	Benjamin grabbed his glicken and ran	1971	M
00023720	chicago_2	Roszak, Theodore	Flicker	1991	M
00010386	chicago_1	Palmer, Stuart	Murder on the blackboard	1932	M
00011270	chicago_1	Montgomery, L. M.	Magic for Marigold	1929	F
Wright2-0382	wright	Skinner, Mose	Our great peace festival and pow-wow	1869	M
00011314	chicago_1	Allingham, Margery	Look to the lady	1931	F
00011135	chicago_1	Sabatini, Rafael	The sea-hawk	1924	M
00011051	chicago_1	Sayers, Dorothy L.	The nine tailors	1934	F
Wright2-1055	wright	Hale, Edward Everett	The Ingham papers	1869	M
00011299	chicago_1	Mansfield, Katherine	The aloe	1930	F
00023501	chicago_2	Warner, Rex	Imperial Caesar	1960	M
00025496	chicago_2	Martin, Valerie	The great divorce	1994	F
00021550	chicago_2	Ludlum, Robert	The Holcroft covenant	1978	M
eaf114	eaf	Hall, James	The Harpe's head	1833	M
00021848	chicago_2	Hoyt, Richard	30 for a Harry	1981	M
00023465	chicago_2	Lofts, Norah	The lute player	1951	F
00021434	chicago_2	Herbert, Frank	The Dosadi experiment	1977	M
00023819	chicago_2	Lochte, Dick	Blue bayou	1992	M
00021798	chicago_2	Tyler, Anne	Morgan's passing	1980	F
00024878	chicago_2	Foster, Alan Dean	Phylogenesis	1999	M
00004617	chicago_1	Spearman, Frank H.	Laramie holds the range	1921	M
00022593	chicago_2	Updike, John	Roger's version	1986	M
00024404	chicago_2	Roberts, Nora	Born in shame	1996	F
00024560	chicago_2	Pynchon, Thomas	Mason & Dixon	1997	M
Wright2-0244	wright	Beckwith, J. R., Mrs.	The Winthrops	1864	F
Wright2-2371	wright	Stephens, Ann S.	The rejected wife	1863	F
Wright2-0320	wright	Bolton, Sarah Knowles	The present problem	1874	F
00010324	chicago_1	Buck, Pearl S.	East wind: west wind	1930	F
00010240	chicago_1	Dreiser, Theodore	The Genius	1925	M
00003591	chicago_1	Chambers, Robert W.	The gay rebellion	1913	M
00020589	chicago_2	Hunt, Irene	Across five Aprils	1964	F
eaf218v1	eaf	Irving, Washington	A chronicle of the conquest of Granada, Vol.1	1829	M
00024833	chicago_2	Chevalier, Tracy	Girl with a pearl earring	1999	F
00023782	chicago_2	Crider, Bill	The Texas capitol murders	1992	M
00025615	chicago_2	Schwartz, Lynne Sharon	The fatigue artist	1995	F
00024957	chicago_2	Pearson, Ryne Douglas	Top ten	1999	M
00020891	chicago_2	Heinlein, Robert A.	I will fear no evil	1970	M
00003889	chicago_1	Porter, Eleanor H.	Pollyanna grows up	1915	F
eaf025v1	eaf	Briggs, Charles F. (Charles Frederick)	The adventures of Harry Franco, I	1839	M
00025771	chicago_2	Flynn, Joseph	Digger	1997	M
00022710	chicago_2	Kluge, P. F.	MacArthur's ghost	1987	M
00021967	chicago_2	Hubbard, L. Ron	Battlefield earth	1982	M
00024687	chicago_2	Hathaway, Robin	The doctor digs a grave	1998	
00023936	chicago_2	Lightman, Alan P.	Einstein's dreams	1993	M
00020741	chicago_2	Kazan, Elia	The arrangement	1967	M
00004494	chicago_1	Southworth, Emma Dorothy Eliza Nevitte	The hidden hand	1920	F
00003759	chicago_1	McCutcheon, George Barr	The Prince of Graustark	1914	M
00021803	chicago_2	Wilson, F. Paul	An enemy of the state	1980	M
00022674	chicago_2	Fergusson, Bruce	The shadow of his wings	1987	M
00020625	chicago_2	Calisher, Hortense	Journal from Ellipsia	1965	F
00023852	chicago_2	Sanders, Lawrence	The seventh commandment	1992	M
00021123	chicago_2	Philips, Judson	Walking dead man	1973	M
00023172	chicago_2	Reed, Ishmael	The terrible threes	1989	M
00001330	chicago_1	Mitchell, S. Weir	Hugh Wynne: free Quaker	1896	M
00022328	chicago_2	De Haven, Tom	Funny papers	1985	M
00021047	chicago_2	Parent, Gail	Sheila Levine is dead and living in New York	1972	F
00025181	chicago_2	Saylor, Steven	Last seen in Massilia	2000	M
00023016	chicago_2	Yarbro, Chelsea Quinn	Crusader's torch	1988	F
00024077	chicago_2	McDevitt, Jack	The engines of God	1994	M
00026026	chicago_2	Hillerman, Tony	Hunting badger	1999	M
00024113	chicago_2	Tarr, Judith	Spear of heaven	1994	F
00025349	chicago_2	Tannen, Mary	Easy keeper	1992	
00022084	chicago_2	Hoover, Thomas	The Moghul	1983	M
00026142	chicago_2	Greeley, Andrew M.	Irish eyes	2000	
00011546	chicago_1	Robins, Denise	The Woman's side of it	1937	F
00010678	chicago_1	Medearis, Mary	Big Doc's girl	1942	F
00011422	chicago_1	Buchan, John	The Free Fishers	1934	M
Wright2-2749	wright	Williams, Henry Llewellyn	Joaquin, the Claude Duval of California, or, The marauder of the mines	1865	M
00025266	chicago_2	Mertz, Barbara	The last camel died at noon	1991	F
00025302	chicago_2	Crichton, Michael	Rising sun	1992	M
00023295	chicago_2	Dallas, Sandra	Buster Midnight's Cafe	1990	F
00024158	chicago_2	Cornwell, Patricia Daniels	The body farm	1995	F
00026109	chicago_2	Brown, Rita Mae	Outfoxed	2000	M
00021168	chicago_2	Ellin, Stanley	Stronghold	1974	M
00020332	chicago_2	MacDonald, John D.	Clemmie	1958	M
00022363	chicago_2	Kagan, Janet	Uhura's song	1985	F
00023139	chicago_2	McMurtry, Larry	Some can whistle	1989	M
00020256	chicago_2	Robinson, Frank M.	The power	1956	M
00004183	chicago_1	Ferber, Edna	Cheerful	1918	F
00024390	chicago_2	Peery, Janet	The river beyond the world	1996	F
00022207	chicago_2	Humphreys, Josephine	Dreams of sleep	1984	F
Wright2-0637	wright	Cornelius, Mary A.	Little wolf	1872	M
00010887	chicago_2	Cain, James M.	The moth	1948	M
00010757	chicago_1	Ross, Lillian Bos	Blaze Allan	1944	F
00011815	chicago_2	Todd, Barbara Euphan	Miss Ranskill comes home	1946	F
eaf156v1	eaf	Ingraham, J. H. (Joseph Holt)	Lafitte, Vol.1	1836	M
00011469	chicago_1	McKinney, J. P	Crucible	1935	M
00010633	chicago_1	Daly, Elizabeth	Murders in volume 2	1941	F
00010271	chicago_1	Hill, Grace Livingston	The white flower	1927	F
Wright2-1383	wright	Hazel, Harry	The brigand, or, The mountain chief	1852	M
00010315	chicago_1	Nordhoff, Charles	Falcons of France	1929	M
Wright2-0311	wright	Anonymous	Blanche Seymour	1873	
00011387	chicago_1	Waugh, Evelyn	Black mischief	1932	M
00025588	chicago_2	Koen, Karleen	Now face to face	1995	F
00022645	chicago_2	Clark, Mary Higgins	Weep no more: my lady	1987	F
00021832	chicago_2	Dick, Philip K	Valis	1981	M
00023863	chicago_2	Thayer, Steve	Saint Mudd	1992	M
00020614	chicago_2	Tyler, Anne	If morning ever comes	1964	F
00021956	chicago_2	Fante, John	Dreams from Bunker Hill	1982	M
00022721	chicago_2	Lescroart, John T	Rasputin's revenge	1987	M
00025890	chicago_2	Greeley, Andrew M.	Irish whiskey	1998	
00023907	chicago_2	Davidson, Diane Mott	Dying for chocolate	1993	F
00021686	chicago_2	Andrews, V. C.	Petals on the wind	1980	F
00024966	chicago_2	Reuss, Frederick	Henry of Atlantic City	1999	M
00001495	chicago_1	Read, Opie Percival	Old Ebenezer	1897	M
00025740	chicago_2	Antrim, Donald	The hundred brothers	1997	M
00024802	chicago_2	Albert, Susan Wittig	Lavender lies	1999	F
00022995	chicago_2	Uris, Leon	Mitla Pass	1988	M
00025624	chicago_2	Spencer, Scott	Men in black	1995	M
00010196	chicago_2	Faust, Frederick Schiller	Bull Hunter	1949	M
00011060	chicago_1	Woolf, Virginia	The years	1937	F
00011104	chicago_1	Freeman, R. Austin	The cat's eye	1923	M
eaf289	eaf	Myers, P. Hamilton (Peter Hamilton)	The King of the Hurons	1850	M
00004742	chicago_1	Stringer, Arthur	The prairie child	1922	M
00020497	chicago_2	Hawkes, John	The cannibal	1962	M
00024551	chicago_2	Page, Katherine Hall	The body in the fjord	1997	F
00000684	chicago_1	Frederic, Harold	In the valley	1890	M
00024849	chicago_2	Cussler, Clive	Atlantis found	1999	M
00024435	chicago_2	Adams, Alice	Medicine men	1997	F
00003997	chicago_1	Norris, Kathleen Thompson	The heart of Rachael	1916	F
00021879	chicago_2	Pascal, Francine	Save Johanna!	1981	F
00023454	chicago_2	Westlake, Donald E	Drowned hopes	1990	M
00024799	chicago_2	Wright, Vinita Hampton	Grace at Bender Springs	1998	F
eaf058v2	eaf	Cooper, James Fenimore	The Red Rover, Vol.2	1828	M
eaf041	eaf	Child, Lydia Maria Francis	Hobomok	1824	F
00021405	chicago_2	Chaix, Marie	The laurels of Lake Constance	1977	F
00023828	chicago_2	Meyers, Annette	Blood on the street	1992	F
00023530	chicago_2	Youd, Sam	The lotus caves	1969	M
00002905	chicago_1	Machen, Arthur	The hill of dreams	1907	M
00002579	chicago_1	Adams, Frederick Upham	John Henry Smith	1905	M
