AUTH_ID,AUTH_LAST,AUTH_FIRST,ALT_FIRST,PSEUD_LAST_1,PSEUD_FIRST_1,PSEUD_LAST_2,PSEUD_FIRST_2,PSEUD_LAST_3,PSEUD_FIRST_3,CANON,DATE_B,DATE_D,NATIONALITY,GENDER,RACE,HYPHENATED_IDENTITY,IMMIGRANT,SEXUAL_IDENTITY,EDUCATION,MFA,SECONDARY_OCCUPATION,COTERIE,RELIGION,CLASS,GEOGRAPHY
A_00001,Aaron,Chester,,,,,,,,,1923,,American,M,,,2,,"UCLA, San Francisco State U",,,,Jewish,,"Butler, PA; Occidental, CA"
A_00002,Abbey,Edward,,,,,,,,,1927,1989,American,M,Caucasian,,,,U of NM,,Park Ranger,,Atheist,,"Indiana, PA; Moab, UT; Albuquerue, NM; Tucson, AZ"
A_00004,Abbott,Eleanor Hallowell,,,,,,,,,1872,1958,American,F,Caucasian,,,,Radcliffe Coll,,,,,,"Cambridge, MA; Wilton, NH; Portsmouth, NH"
A_00005,Abbott,Jane,,,,,,,,,1881,1962,American,F,,,,,Cornell,,,,,,"Buffalo, NY"
A_00007,Abell,Ron,,,,,,,,,1932,2012,American,M,,,,,UCLA,,Journalist,,,,"Los Angeles, CA; Portland, OR"
A_00009,Ackerley,J. R.,Joe Randolph,,,,,,,,1896,1967,British,M,Caucasian,,,,Cambridge,,Radio,,,,"London, UK"
A_00010,Acland,Peregrine,,,,,,,,,1891,1963,Canadian,M,Caucasian,,,,U of Toronto,,Advertising,,,,"Toronto, Ontario, Canada"
A_00011,Acosta,Oscar Zeta,,,,,,,,,1935,1974,American,M,Latino/a,Mexican-American,,,San Francisco State U; San Francisco Law,,Lawyer,Chicano,,,"El Paso, TX; Oakland, CA; East Los Angeles, CA"
A_00012,Adams,Alice,,,,,,,,,1926,1999,American,F,Caucasian,,,,Radcliffe Coll,,,,,,"Fredricksburg, VA; Chapel Hill, NC; San Francisco, CA"
A_00013,Adams,Andy,,,,,,,,,1859,1935,American,M,,,,,,,Cowboy,,,,"IN; TX; NV; Colorado Springs, CO"
A_00014,Adams,Arthur H.,,,,,,,,,1872,1936,New Zealand,M,,,,,U of Otago,,Editor,,,,"Lawrence, New Zealand; Sydney, Australia"
A_00015,Adams,Francis A.,Francis Alexandre,,,,,,,,1874,,American,,,,,,,,Journalist,,,,"New York, NY"
A_00016,Adams,Frederick Upham,,,,,,,,,1859,1921,American,M,,,,,,,Inventor,,,,"Boston, MA; Larchmont, NY"
A_00017,Adams,Henry,,,,,,,,,1838,1918,American,M,Caucasian,,,,Harvard,,Historian,,,,"Boston, MA; Washington, DC"
A_00019,Adams,Richard,,,,,,,,,1920,,British,M,,,,,Oxford,,,,,,"Newbury, Berkshire; Whitchurch, Hampshire"
A_00020,Adams,Samuel Hopkins,,,,,,,,,1871,1958,American,M,Caucasian,,,,"Hamilton Coll, Union Coll",,Journalist,Muckraker,,,"Dunkirk, NY; New York, NY"
A_00021,Ade,George,,,,,,,,,1866,1944,American,M,Caucasian,,,,Purdue U,,Journalist,Local Color,,,"Kentland, IN; Chicago, IL; Brook, IN"
A_00022,Adler,Elizabeth,Elizabeth A.,,,,,,,,,,British,F,Caucasian,,,,,,,,,,"Yorkshire, UK; Palm Springs, CA"
A_00023,Adler,Renata,,,,,,,,,1938,,American,F,Caucasian,German-American,1,,"Bryn Mawr Coll, Harvard, Yale Law",,Journalist,Postmodernism,Jewish,,"Milan, Italy; New York, NY; Danbury, CT"
A_00024,Adler,Warren,,,,,,,,,1927,,American,M,Caucasian,,,,NYU,New School,Radio,,Jewish,,"New York, NY"
A_00025,Agee,James,,,,,,,,C,1909,1955,American,M,Caucasian,,,,Harvard,,Screenwriter,,,,"Knoxville, TN; New York, NY"
A_00027,Albert,Gail,,,,,,,,,1942,,American,F,Caucasian,,,,Johns Hopkins U,,Psychiatrist,,Jewish,,"New York, NY"
A_00028,Albert,Mimi,,,,,,,,,,,American,F,,,,,Hunter Coll,Columbia,,,,,"New York, NY; Oakland, CA"
A_00031,Aldington,Richard,,,,,,,,,1892,1962,British,M,Caucasian,,,,,,,Modernism,,,"Portsmouth, Hampshire, UK; London, UK"
A_00032,Aldiss,Brian W.,Brian Wilson,,,,,,,,1925,,British,M,,,,,,,Bookseller,,,,"East Dereham, Norfolk, England; Oxford"
A_00034,Aldrich,Thomas Bailey,,,,,,,,,1836,1907,American,M,Caucasian,,,,,,Editor,,,,"Portsmouth, NH; New Orleans, LA; New York, NY; Boston, MA; Saranac Lake, NY"
A_00035,Alegria,Claribel,,,,,,,,,1924,,American,F,Latino/a,Nicaraguan,,,George Washington U,,,,,,"Esteli, Nicaragua; Santa Ana, El Salvador; Managua, Nicaragua"
A_00037,Alexander,Karl,,,,,,,,,1945,,American,M,Caucasian,,,,"Brown, San Francisco State U",U of IA,Screenwriter,,,,"Los Angeles, CA"
A_00038,Alexander,Lloyd,,,,,,,,,1924,2007,American,M,Caucasian,,,,,,,,,,"Philadelphia, PA; Drexel Hill, PA"
A_00040,Algren,Nelson,,,,,,,,,1909,1981,American,M,Caucasian,,,,U of IL,,Black Market,,Jewish,,"Detroit, MI; Chicago, IL; Paterson, NJ; Long Island, NY"
A_00042,Allan,Ted,,,,,,,,,1916,1995,Canadian,M,Caucasian,,,,,,Screenwriter,,,,"Montreal, Quebec, Canada; Toronto, Ontario, Canada"
A_00043,Allegretto,Michael,,,,,,,,,1944,,American,M,,,,,U of Denver; U of CA-Santa Barbara,,,,,,FL; CO
A_00044,Allen,Charlotte Vale,,,,,,,,,1941,,American,F,,,,,,,Actor,,,,"Toronto, Canada; England; CT"
A_00048,Allen,James Lane,,,,,,,,,1849,1925,American,M,,,,,Transylvania U,,,Local Color,,,"Lexington, KY; New York, NY"
A_00050,Allen,Paul,Paul A.,,,,,,,,1948,,American,M,,,,,U of South FL,USC,Filmmaker ,,,,"Madison, WV; CA"
A_00051,Allen,Thomas B,,,,,,,,,1929,,American,M,,,,,,,Historian,,,,"Bethesda, MD"
A_00055,Allingham,Margery,,,,,,,,,1904,1966,British,F,,,,,Regent Street Polytechnic,,,,,,"London, UK; Colchester, Essex, UK"
A_00057,Allyn,John,,,,,,,,,,,American,M,,,,,"U of MI, UCLA",,,,,,
