BOOK_ID,FILENAME,LIBRARIES,TITLE,AUTH_LAST,AUTH_FIRST,AUTH_ID,WRITTEN_AS,PUBL_CITY,PUBLISHER,PUBL_DATE,SOURCE,NATIONALITY,GENRE,CLEAN?,GENRE_2,BESTSELLER?
25004,00025004.txt,829,Murder with puffins,Andrews,Donna,A_03775,,New York,Thomas Dunne Books,2000,k,American,DET,c,,
25005,00025005.txt,477,The quantum rose,Asaro,Catherine,A_03778,,New York,Tor,2000,k,American,,c,,
25006,00025006.txt,521,Leavin' trunk blues,Atkins,Ace,A_03779,,New York,Thomas Dunne Books,2000,k,American,,c,,
25007,00025007.txt,686,Wings of refuge,Austin,Lynn N,A_03780,,Minneapolis,Bethany House,2000,k,American,,c,,
25008,00025008.txt,1117,The year of Jubilo,Hereford,Howard,A_03781,1,New York,Henry Holt & Co.,2000,k,American,,c,,
25009,00025009.txt,2641,Wish you well,Baldacci,David,A_03782,,New York,Warner Books,2000,k,American,,c,,
25010,00025010.txt,2271,Deep South,Barr,Nevada,A_03784,,New York,Putnam,2000,k,American,,c,,
25011,00025011.txt,970,Jane and the stillroom maid,Barron,Stephanie,A_03786,,New York,Bantam Books,2000,k,American,,c,,
25012,00025012.txt,492,Big trouble,Barry,Dave,A_03787,,"""Thorndike, ME""","""Thorndike, Maine""",2000,k,American,,c,,
25013,00025013.txt,490,Film strip,Bartholomew,Nancy,A_03789,,New York,St. Martin's Minotaur,2000,k,American,,c,,
25014,00025014.txt,464,The testament of Yves Gundron,Barton,Emily,A_03790,,New York,"""Farrar, Straus & Giroux""",2000,k,American,,c,,
25015,00025015.txt,673,Schmidt delivered,Begleiter,Ludwik,A_03795,1,New York,Alfred A. Knopf,2000,k,American,,c,,
25016,00025016.txt,874,Eater,Benford,Gregory,A_00250,,New York,EOS,2000,k,American,,c,,
25017,00025017.txt,692,The wrong dog,Benjamin,Carol Lea,A_03796,,New York,Walker & Co.,2000,k,American,,c,,
25018,00025018.txt,1526,Jayber Crow,Berry,Wendell,A_00274,,"""Washington, DC""",Counterpoint,2000,k,American,,c,,
25019,00025019.txt,408,Lightning on the sun,Bingham,Robert,A_03801,,New York,"""Doubleday, Page & Co.""",2000,k,American,,c,,
25020,00025020.txt,688,Elixir,Goshgarian,Gary,A_03818,1,New York,Forge,2000,k,American,,c,,
